Inventory ID,Department or Division,Dataset Name,Dataset Description,Data Classification,Value,Department Priority,Date Added to Inventory,Publishing Status,Dataset ID,Dataset Link,Date Published,Category,Publishing Approach,Update Frequency,field_names,monthly_views,days_since_data_update,days_overdue,data_last_changed_dt,data_processed_at,data_as_of,data_loaded_at
CMD-0003,Contract Monitoring Division,Equal Benefits Compliant Vendors,The Equal Benefits Program requires the City to only contract with businesses that offer the same benefits to employees with domestic partners as employees with spouses. This dataset contains all firms certified as compliant with the Equal Benefits Ordinance by the Contract Monitoring Division.,Level 2 - Internal Use,Low,Priority 3,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TIS-0098,Technology,San Francisco Facilities - Current (Zipped Shapefile Format),"Current San Francisco Facilities - City-Owned, City-Leased and other designated critical facilities (hospitals, shelters, et al.).Updated as changes occur..",Level 1 - Public,Medium,Priority 2,2017-07-02T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MTA-0009,Municipal Transportation Agency,Passenger Service Requests,,Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
REG-0016,Elections,Supervisor Districts (2002),Supervisor Districts for San Francisco for the time period 2002-2012.,Level 1 - Public,High,Priority 1,2015-04-30T00:00:00Z,Published,qdm2-fi8r,https://data.sfgov.org/d/qdm2-fi8r,07/17/2016,Geographic Locations and Boundaries,Manual,Not updated (historical only),"the_geom, numbertext, supdist, supervisor",,3472,,2016-07-17T20:57:51Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ETH-0129,Ethics Commission,SFEC Form 134b - Candidate's Notice of Exceeding 100 Percent of the Voluntary Expenditure Ceiling - Filings,"SFEC Form 134b is for use by a candidate for Assessor, Public Defender, City Attorney, District Attorney, Treasurer, Sheriff, the Board of Education or the Community College Board who has received contributions, made qualified campaign expenditures, incurred expenses or have funds in his or her Campaign Contribution Trust Account that exceed 100 percent of the applicable ceiling.  This form must be filed by the candidate and received by the San Francisco Ethics Commission within 24 hours of reaching the 100 percent threshold. See S.F. Campaign & Governmental Conduct Code 
§ 1.134(b).  This form must be filed only if at least one candidate for the City elective office has accepted the applicable voluntary expenditure ceiling, and the Ethics Commission has not lifted that voluntary expenditure ceiling.  This dataset includes filings received starting March 2, 2020.",Level 1 - Public,High,Priority 1,2020-07-14T00:00:00Z,Published,r6ws-g6g2,https://data.sfgov.org/d/r6ws-g6g2,03/02/2020,City Management and Ethics,Automated,As needed,"docusignid, filing, officesought, electiondate, thresholddate, contributionscheckbox, expenditurescheckbox, trustaccountcheckbox, candidatename, datesigned, committeename, fppcid",,2148,,2020-03-02T22:45:41Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DBI-0019,Building Inspection,DBI Building Inspection Division Districts,The data in this map displays building inspectors by district.,Level 1 - Public,High,Priority 1,,Published,pcra-csp6,https://data.sfgov.org/d/pcra-csp6,11/22/2019,Housing and Buildings,Automated,As needed,"description, name, polygon, order, data_loaded_at",,328,,2025-02-24T19:27:05Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CON-0024,Controller,Scorecard Measures,"Departments collect and submit this data to the Controller's Office via the Budget and Performance Measurement System (BPMS). This data is collected to display on the City Performance Scorecard website, a site that provides timely performance information to the public and policy makers by major service area.",Level 1 - Public,High,Priority 1,2016-01-20T00:00:00Z,Published,kc49-udxn,https://data.sfgov.org/d/kc49-udxn,01/20/2016,City Management and Ethics,Automated,Daily,"measure_code, department, goal, measure_title, scorecard_update_frequency, monthly, calendar_month, measure_description, measure_methodology, actual, measure_data_type, category_1, category_2, category_3, category_4, data_loaded_at, data_as_of, target",4708,0,,2026-01-18T17:04:45Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
DPH-0060,Public Health,Health Inspection Scores (2024-Present),"<i> Note: As of August 8, 2025, updates to this dataset have been paused as the Department of Public Health resolves an ongoing file formatting error.</i>

<strong>SUMMARY</strong>
This dataset contains the results of health inspections conducted by the Department of Public Health from 2024 to Present. It includes the name and location of each facility inspected, the facility status (Pass, Conditional Pass, or Closure) after the inspection, and violations observed. 

<strong>HOW THIS DATASET IS CREATED</strong> 
After inspecting a facility, a Health Inspector assigns a facility status based on observed violations and health risk.

<strong>UPDATE PROCESS</strong>
This dataset will be updated monthly.

<strong>RELATED DATASETS</strong>
<li><u><a href=""https://data.sfgov.org/d/tvy3-wexg"">Health Inspections (2024-Present)</a></u>
<li><u><a href=""https://data.sfgov.org/d/5tti-66ds"">Health Inspections (2020-2023)</a></u>
<li><u><a href=""https://data.sfgov.org/d/pyih-qa8i"">Health Inspections (2016-2019)</a></u>
<li><u><a href=""https://inspections.myhealthdepartment.com/san-francisco"">Inspection lookup tool</a></u>",Level 1 - Public,High,Priority 1,2023-10-25T00:00:00Z,Published,tvy3-wexg,https://data.sfgov.org/d/tvy3-wexg,05/07/2025,Health and Social Services,Automated,Daily,"inspection_date, inspector, district, subdistrict, subsector, permit_number, dba, permit_type, street_address, street_address_clean, inspection_type, inspection_frequency_type, total_time, facility_rating_status, census, suspension_notes, inspection_notes, violation_count, violation_codes, latitude, longitude, point, analysis_neighborhood, supervisor_district, data_as_of, data_loaded_at",1590,0,,2026-01-18T10:34:43Z,2026-01-18T00:00:00Z,2025-05-14T13:43:51Z,2026-01-18T19:13:25Z
LIB-0001,Public Library,CA State Library Report,"The State Library annually publishes California Library Statistics, a compilation of statistical data from public and county law libraries throughout the state.",Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CPC-0157,Planning,Planning Record ID to APN Crosswalk,Reference dataset that has the APNs related to a planning project,Level 1 - Public,High,Priority 1,2019-03-19T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ENV-0018,Environment,"RecycleWhere: Safe Disposal List (Items, Vendors)","Lists items requiring special handling and disposal actions, and the vendors or services which accept these items.",Level 1 - Public,Low,Priority 2,2019-06-29T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TIS-0043,Technology,USPS Post Offices in San Francisco (Zipped Shapefile Format),USPS Post Offices in San Francisco.,Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
FIR-0034,Fire Department,Medical Incidents,"Medical Incidents includes a summary of each (non-fire) incident to which the SFFD responded. Each incident record includes the call number, incident number, address, number and type of each unit responding, call type (as determined by dispatch), prime situation (field observation), actions taken, and property loss. Addresses are associated with a block number, not with a specific address.",Level 3 - Sensitive,Medium,Priority 1,2024-04-29T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-28T11:48:59Z,2026-01-18T19:13:25Z
LIB-0004,Public Library,Library Locations and Open Hours,The addresses of all 28 libraries throughout San Francisco and their open hours.,Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TIS-0049,Technology,Orthophoto 1ft (1996) - Treasure Island (Zipped MrSID Format),Orthophoto of Treasure Island from 1996,Level 1 - Public,High,Priority 2,2015-11-03T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
TID-0004,Treasure Island Development Authority,Treasure Island Emergency Response Information,"Pertinent TI/YBI emergency response-related information is stored on TIDA's Google Drive account. Information included commercial tenant and housing property manager contact information, Island-wide maps and demographic information, TIDA departmental information such as it's COOP document, social media account log-ins, staff contact information, as well as pertinent contact information for City department with on-Island responsibilities.",Level 1 - Public,High,Priority 1,2015-06-01T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ADP-0007,Adult Probation,COMPAS PSI data - as requested,Contains information in Pre-Sentence Reports submitted to courts,Level 4 - Protected,Medium,Priority 3,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
JUV-0010,Juvenile Probation,Selected Court Dispositions,Selected Court Dispositions,Level 4 - Protected,High,Priority 2,2015-04-30T00:00:00Z,Not Published,,,,,,,,,,,,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ADM-0086,GSA - City Administrator's Office,2015 Project Appendix,This is an appendix for future general fund capital projects as they have been entered by departments and collected by the capital planning program,Level 1 - Public,High,Priority 1,2015-10-28T00:00:00Z,Published,xpdk-pzjd,https://data.sfgov.org/d/xpdk-pzjd,08/10/2015,City Infrastructure,Manual,Not updated (historical only),"projectid, projectname, address, short_description, plan_status, departmentname, fundingprinciple, _2016, _2017, _2018, _2019, _2020, _2021, _2022, _2023, _2024, _2025, fund_fy6_10, futurefund, fundtotal, plantotal, fundname, groupname, project_image, :@computed_region_6qbp_sg9q, :@computed_region_qgnn_b9vv, :@computed_region_26cr_cadq, :@computed_region_ajp5_b2md, :@computed_region_yftq_j783, :@computed_region_p5aj_wyqh, :@computed_region_rxqg_mtj9, :@computed_region_bh8s_q3mv, :@computed_region_fyvs_ahh9",,3814,,2015-08-10T18:41:24Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
ETH-0096,Ethics Commission,Campaign Finance - Public Funds Approved,"This dataset lists candidates who have been certified by the Ethics Commission as eligible to receive public funds. 

Each row represents a qualifying or matching request by a candidate that was approved by the Ethics Commission and the amount of funds to be issued.

More information about San Francisco’s public financing program for qualified City candidates, visit the <a href=""https://sfethics.org/guidance/campaigns/candidates/public-financing-program"">Ethics Commission’s Public Financing Program</a> page.",Level 1 - Public,High,Priority 1,2017-07-20T00:00:00Z,Published,dbak-p2fq,https://data.sfgov.org/d/dbak-p2fq,05/25/2017,City Management and Ethics,Automated,As needed,"election_date, district, candidate, date_of_submission, date_certified_approved, pending_completed, funds_approved",,34,,2025-12-15T23:30:36Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
MTA-0042,Municipal Transportation Agency,Blockfaces,"A. SUMMARY Blockface geography for the City of San Francisco (coincident with curb lines).

B. METHODOLOGY  Dataset created by multiple analysts over several years; various methodologies employed including manual drawing and use of offset tool and street centerline shapefile. Most recent methodology includes use of  the ""blockfaster"" tool.

C. UPDATE FREQUENCY  Updated frequently as this dataset is currently in development, as of June 2015. 

D. OTHER CRITICAL INFO  Attributes are in progress and unverified, except for SFPARK_ID.Some blockfaces are drawn only for portions of a given street length, as they were originally intended to show length of street where parking regulations were in effect. Currently being revised (June 2015).",Level 1 - Public,Medium,Priority 2,2015-04-30T00:00:00Z,Published,pep9-66vw,https://data.sfgov.org/d/pep9-66vw,05/01/2019,Transportation,Automated,As needed,"name, popupinfo, shape_leng, street_nam, blockface_, sfpark_id, cnn_id, globalid, created_user, created_date, last_edited_user, last_edited_date, shape",,1924,,2020-10-12T17:01:01Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
CPC-0158,Planning,Cultural Districts,"<strong>A. SUMMARY</strong>
The San Francisco Board of Supervisors has recognized several cultural districts that are distinguished by unique social and historical associations and living traditions. While they have physical boundaries, the districts are primarily identified by the activities that occur within them, including commerce, services, arts, events, and social practices. While a cultural heritage district does not currently hold any regulatory controls, the recognition has spurred community efforts facilitated by the Planning Department and the Mayor's Office of Economic and Workforce Development to develop strategies for sustaining the living culture of these places

More information: https://sfplanning.org/cultural-heritage",Level 1 - Public,Medium,Priority 2,2020-09-06T00:00:00Z,Published,5xmc-5bjj,https://data.sfgov.org/d/5xmc-5bjj,08/17/2020,Culture and Recreation,Manual,As needed,"designation_date, district_name, the_geom",63,0,,2026-01-18T12:12:44Z,2026-01-18T00:00:00Z,2025-02-27T14:27:46Z,2026-01-18T19:13:25Z
